date,mins,name
2022-08-22,39,Lunch Weight Training
2022-08-23,36,Lunch Weight Training
2023-10-19,35,Shoulder rehab/mobility
2023-10-25,33,Squats deadlifts single leg
2023-11-06,35,Push pull
2023-12-18,38,Lunch Weight Training
2023-12-24,34,Lunch Weight Training
2023-12-29,35,Afternoon Weight Training
2024-01-04,65,
2024-01-11,53,
2024-01-22,49,
2024-01-29,45,
2024-02-01,44,lateral movement
2024-02-05,45,
2024-02-21,31,
2024-02-22,44,legs
2024-02-25,58,
2024-02-29,64,
2024-03-04,77,OLAVI
2024-03-08,56,
2024-03-12,19,
2024-03-14,62,
2024-03-19,11,
2024-03-20,84,
2024-03-24,19,
2024-03-26,25,
2024-03-28,33,
2024-04-02,78,
2024-04-03,18,
2024-04-09,39,
2024-04-15,51,
2024-04-16,61,
2024-04-17,99,
2024-04-22,17,
2024-04-23,55,
2024-04-25,71,
2024-04-26,60,
2024-04-28,62,hot yoga
2024-04-29,50,
2024-05-01,56,
2024-05-03,93,
2024-05-08,65,
2024-05-10,80,
2024-05-14,25,
2024-05-15,78,
2024-05-23,53,
2024-05-24,84,
2024-05-31,105,OLAVI
2024-06-12,20,
2024-06-17,51,
2024-06-18,81,
2024-06-25,41,
2024-06-28,109,
2024-07-02,36,
2024-07-04,62,
2024-07-07,11,
2024-07-08,69,
2024-07-16,32,
2024-07-17,18,
2024-07-21,43,
2024-07-22,43,
2024-07-26,98,
2024-07-29,54,
2024-08-05,40,
2024-08-11,19,
2024-08-15,10,
2024-08-16,102,
2024-08-19,58,
2024-08-23,136,
2024-08-29,85,
2024-08-30,86,
2024-09-02,52,
2024-09-07,95,
2024-09-09,40,
2024-09-15,58,
2024-09-16,50,
2024-09-20,136,
2024-09-23,62,
2024-09-30,68,
2024-10-21,63,
2024-10-26,96,
2024-10-28,48,
2024-11-01,67,
2024-11-04,59,
2024-11-06,117,
2024-11-11,51,
2024-11-18,51,
2024-12-02,45,
2024-12-04,79,
2024-12-09,44,
2024-12-15,12,bailed
2024-12-16,36,
2024-12-23,30,
2024-12-30,91,
2025-01-06,113,
2025-01-10,84,
2025-01-13,58,
2025-01-19,62,
2025-01-20,58,
2025-01-26,40,
2025-01-28,55,
2025-02-05,38,
2025-02-08,128,
2025-02-13,33,
2025-02-19,41,
2025-02-24,61,
2025-02-27,82,
2025-03-03,43,
2025-03-04,99,OLAVI
2025-03-16,40,
2025-03-17,47,
2025-04-03,61,
2025-04-05,90,
2025-04-10,30,
2025-04-17,121,
2025-05-09,135,
2025-05-12,41,
2025-05-26,49,
2025-06-06,114,
2025-06-09,53,
2025-06-23,33,
2025-06-27,82,
2025-06-30,54,
2025-07-06,35,
2025-07-10,111,
2025-07-22,62,
2025-07-28,59,
2025-08-04,65,
2025-08-05,58,
2025-08-11,76,
2025-08-20,31,
2025-08-21,66,
2025-09-05,98,
2025-09-08,63,
2025-09-14,71,
2025-09-15,50,
2025-09-22,70,
2025-09-29,56,
2025-10-04,103,
2025-10-08,40,
2025-10-13,50,
2025-10-20,57,
2025-10-27,78,
2025-11-08,100,
2025-11-10,37,
2025-11-17,42,
2025-11-24,53,
2025-12-01,54,
2025-12-08,40,
2025-12-15,46,
2025-12-22,38,
2025-12-26,12,
2026-01-05,51,
2026-01-10,113,
2026-01-13,31,
2026-01-19,51,
2026-01-26,53,
2026-02-02,55,
2026-02-09,31,
2026-02-14,84,
2026-02-16,51,
2026-02-21,47,
2026-02-24,55,
2026-03-04,46,
2026-03-21,68,
2026-03-30,46,
2026-04-13,47,
2026-04-15,40,
2026-04-20,69,
2026-04-27,43,
2026-05-09,76,
2026-05-26,31,physio
2026-06-06,53,
2026-06-08,62,
2026-06-22,81,
2026-06-29,49,
2026-07-02,65,
2026-07-09,53,
2026-07-11,70,
2026-07-18,83,
2026-07-20,44,
2026-08-08,87,
2026-08-09,67,
2026-08-12,98,
2026-08-14,64,
2026-08-19,98,
2026-08-23,54,
2026-09-19,69,
