date,dist_m,mov_s,note
2020-12-31,8066.2,2947,
2021-01-03,3637.3,1204,
2021-01-04,9662.4,2990,
2021-01-05,3232,856,
2021-01-07,8575.1,2937,
2021-01-09,3701.8,1296,
2021-01-10,10786.9,3335,
2021-01-12,3223.1,1105,
2021-01-13,12887.8,4129,
2021-01-15,4841.1,1337,
2021-01-16,3107.3,1118,
2021-01-20,3232.7,1056,
2021-01-22,11280.1,3689,
2021-01-25,4412,1513,
2021-01-28,1625.8,559,
2021-02-01,12879.5,4020,
2021-02-04,3224.3,1166,
2021-02-06,21249.9,6190,HM_solo
2021-02-12,4316.4,1719,
2021-02-14,6442.9,1964,
2021-02-17,6447.4,2043,
2021-02-23,4563.5,1623,
2021-02-24,2616.7,971,
2021-02-28,12883.3,4024,
2021-03-02,3231.6,855,
2021-03-04,3407.9,1175,
2021-03-07,10219.4,3784,
2021-03-09,6443.6,1989,
2021-03-16,1971.6,618,
2021-03-22,4841.9,1502,
2021-03-24,3023.7,914,
2021-03-29,9664,2954,
2021-05-01,5224,1926,
2021-05-04,5149.91,1560,
2021-05-07,4229,1281,
2021-05-12,10039.2,2687,10k_max_effort
2021-06-06,5075.6,1771,
2021-07-04,8055.4,2428,
2021-07-27,5159.7,1362,
2021-08-05,10692.1,3967,
2021-08-08,8052.1,3030,
2021-08-12,8956.7,3374,
2021-08-22,3290.99,1212,
2021-09-07,3817.28,1200,
2021-09-08,5741.8,1826,
2021-09-13,5049,1424,
2021-09-14,4819.1,2327,
2021-09-16,9648.4,3749,
2021-09-20,9674.1,2718,
2021-09-26,21211.8,6146,RACE_Hackney_half
2021-10-11,4105.7,1314,
2021-11-20,3689.44,1192,
2022-01-11,2935.19,912,
2022-01-17,3888.82,1188,
2022-01-31,5116.58,1711,
2022-02-14,5560.1,1950,
2022-02-27,9815.51,3779,
2022-03-03,4457.02,1543,
2022-03-05,6510.4,2129,
2022-03-12,3646.96,1383,
2022-03-15,5207.4,1571,
2022-03-19,5174.42,1588,
2022-03-22,4333.47,1456,
2022-05-09,2030.6,919,
2022-05-12,4882.7,1717,post_shoulder_surgery
2022-05-16,10019.8,3564,
2022-05-22,21256.8,7165,RACE_Hackney_half
2022-05-30,1855.9,611,
2022-06-06,3725.17,1212,
2022-06-07,5091.17,1755,
2022-06-13,5178.03,1653,
2022-06-17,5028.41,1724,
2022-06-22,3591.95,1280,
2022-06-23,4195.4,1416,
2022-07-12,7251.1,2586,
2022-07-14,4249.42,1422,
2022-07-20,5885.68,1982,
2022-07-24,8330.43,2757,
2022-07-27,4255.79,1368,
2022-08-08,5174.19,1468,
2022-08-14,2987.55,965,
2022-08-16,9153.93,2992,
2022-08-21,3273.29,1241,
